2025-04-11 16:43:41,361 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_78, process: A, location: B
2025-04-11 16:43:41,366 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_79, process: A, location: B
2025-04-11 16:43:41,370 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_8, process: A, location: B
2025-04-11 16:43:41,375 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_80, process: A, location: B
2025-04-11 16:43:41,379 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_81, process: A, location: B
2025-04-11 16:43:41,384 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_82, process: A, location: B
2025-04-11 16:43:41,389 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_83, process: A, location: B
2025-04-11 16:43:41,394 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_84, process: A, location: B
2025-04-11 16:43:41,398 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_85, process: A, location: B
2025-04-11 16:43:41,402 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_86, process: A, location: B
2025-04-11 16:43:41,407 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_87, process: A, location: B
2025-04-11 16:43:41,411 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_88, process: A, location: B
2025-04-11 16:43:41,416 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_89, process: A, location: B
2025-04-11 16:43:41,420 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_9, process: A, location: B
2025-04-11 16:43:41,425 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_90, process: A, location: B
2025-04-11 16:43:41,429 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_91, process: A, location: B
2025-04-11 16:43:41,434 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_92, process: A, location: B
2025-04-11 16:43:41,438 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_93, process: A, location: B
